,radius,movement
222,0.06678679835935736,[  5.32864406 -13.66355596]
223,0.11722795194070736,[  2.59130707 -12.59521576]
224,0.05103031627248249,[ -0.07968393 -11.06216679]
225,0.12026769947944306,[ -6.52264917 -12.54981899]
226,0.06620518962098663,[  3.80191672 -14.23833443]
227,0.05077706251929806,[  0.93648352 -11.44032967]
228,0.10723461637118688,[ -2.47765938 -13.56643243]
229,0.05397675785224819,[ -2.47711321 -11.95598108]
230,0.11031601682701694,[  3.75427757 -17.2749565 ]
231,0.06522431777218035,[  4.16264688 -13.41014224]
232,0.1036896958507927,[  1.33493616 -12.70009185]
233,0.054688570017718485,[  3.52372742 -11.39195402]
234,0.10854896156511759,[  0.43644649 -13.21865607]
235,0.06717173986622077,[  5.52793651 -13.46261023]
236,0.1028157153365364,[  1.98811881 -12.52704661]
237,0.058997615251972266,[ -0.82758077 -10.89487786]
238,0.09950231504774462,[ -4.13077822 -13.86526143]
239,0.06342053075951334,[  5.41666667 -12.84929356]
240,0.0567704817454536,[  4.41191367 -10.49933813]
241,0.11656626489481196,[  0.85789126 -13.59689795]
242,0.06812457809454432,[  0.09312781 -14.43946692]
243,0.11078247140997638,[  1.02292002 -12.90230365]
244,0.05178264652576432,[  1.61496656 -11.70108696]
245,0.07323172101230795,[ -3.81647878 -15.59482759]
246,0.06678679835935736,[  3.00218525 -13.92675878]
247,0.10735476723954324,[ -1.28015932 -14.22317699]
248,0.05811700441605883,[ -2.93812167 -11.48826047]
249,0.07017529657329155,[  1.55330357 -12.86319982]
250,0.11511956306977515,[ -0.01776785 -15.09693339]
251,0.055854768771227865,[  0.11043771 -15.19504132]
252,0.05178264652576432,[  4.52399435 -10.31810162]
253,0.053496954929028076,[ -0.35179442 -12.52052873]
254,0.11239981931762458,[  0.73165638 -14.28946369]
255,0.067363385733172,[  0.53651157 -13.57019903]
256,0.06442886950523666,[ -4.04968944 -12.10559006]
257,0.08794845214252557,[ -4.95544218 -12.60707483]
258,0.05103031627248249,[ -2.21679043 -10.39944307]
259,0.067363385733172,[  2.5902618  -13.32249712]
260,0.09265944398729892,[  4.81219359 -14.37516586]
261,0.043974226071262786,[ 0.01589041 -8.03123288]
262,0.06301267745665633,[ -2.77373272 -11.24541265]
263,0.04248313847471833,[ 2.51333333 -7.11809524]
264,0.10902297675255856,[  0.32058215 -12.72556122]
265,0.05178264652576432,[-1.73367621 -8.81462433]
266,0.07054174969981393,[ -6.1773615  -12.79117842]
267,0.10771441570838683,[ -3.49766082 -19.27660819]
268,0.06639962525144012,[  0.1754386  -13.41520468]
269,0.05052253929987899,[ -5.26222222 -13.43474747]
270,0.09196117145910523,[  2.72034368 -13.18936551]
271,0.06342053075951334,[  4.43851387 -12.3622449 ]
272,0.05986527381164558,[ -2.68622749 -12.73512954]
273,0.058997615251972266,[ -2.28487886 -11.90086327]
274,0.12218189453488433,[ -1.72742974 -15.52380908]
275,0.06659349318298727,[  0.14439746 -14.85835095]
276,0.06850200246796762,[  1.87944891 -14.33442677]
277,0.0567704817454536,[  3.45414984 -14.74358306]
278,0.0998902397744809,[  2.0491098  -14.95965017]
279,0.05986527381164558,[ -3.83453237 -11.64028777]
280,0.06093247502315768,[  5.59722222 -11.80666667]
281,0.04426641683429341,[ 0.11244019 -8.95403281]
282,0.06050785329926984,[ -6.00338394 -10.77583684]
283,0.11365444774061598,[ -1.0619827 -14.6192149]
284,0.06620518962098663,[  1.68618331 -12.85362517]
285,0.10651086490865753,[  6.02349246 -14.84950891]
286,0.06542166865517303,[  0.96987952 -14.93718226]
287,0.05301280963235855,[  2.21605091 -11.62434912]
288,0.10949493989729606,[ -0.70518675 -14.96318626]
289,0.05301280963235855,[  4.32332769 -10.53032867]
